Salin data berikut di ./aplikasi-mobile/harian-baru.json

Bahasa Indonesia	Bahasa Arab Putra	Bahasa Arab Putri	Pagi
Jangan makan pakai tangan kiri	لَا تَأْكُلْ بِيَدِكَ الْيُسْرَى	لَا تَأْكُلِي بِيَدِكِ الْيُسْرَى	1
Kamu jahat, tidak mau bantuin aku	أَنْتَ شِرِّيرٌ، لَا تُرِيدُ أَنْ تُسَاعِدَنِي	أَنْتِ شِرِّيرَةٌ، لَا تُرِيدِينَ أَنْ تُسَاعِدِينَنِي	2
Makan lah pakai piring	كُلْ فِي الصَّحْنِ	كُلِي فِي الصَّحْنِ	3
Kepalaku pusing bah	رَأْسِي يُؤْلِمُنِي	رَأْسِي يُؤْلِمُنِي	4
Cepetin bagi makanannya	أَسْرِعْ فِي تَوْزِيعِ الطَّعَامِ	أَسْرِعِي فِي تَوْزِيعِ الطَّعَامِ	5
Apa lauknya?	مَا الْإِدَامُ؟	مَا الْإِدَامُ؟	6
Cepetin sudah ada akhwatnya / ikhwannya	أَسْرِعْ، فَقَدْ جَاءَتِ الْأَخَوَاتُ	أَسْرِعِي، فَقَدْ جَاءَ الْإِخْوَانُ	7
Siapa yang piket sapu?	مَنْ حَارِسُ الْمَطْعَمِ؟	مَنْ حَارِسَةُ الْمَطْعَمِ؟	8
Hijabnya pindah situ	اُنْقُلِ الْحِجَابَ إِلَى هُنَاكَ	اُنْقُلِي الْحِجَابَ إِلَى هُنَاكِ	9
Ah, fresh meat	آهِ، لَحْمٌ طَازَجٌ	آهِ، لَحْمٌ طَازَجٌ	10
Kekurangan konsumsi	الطَّعَامُ نَاقِصٌ	الطَّعَامُ نَاقِصٌ	11
Jatahku mana?	أَيْنَ حِصَّتِي؟	أَيْنَ حِصَّتِي؟	12
Makan apa?	مَاذَا نَأْكُلُ؟	مَاذَا نَأْكُلُ؟	13
Ambil aja jatahku	خُذْ حِصَّتِي	خُذِي حِصَّتِي	14
Mana sendok nasi?	أَيْنَ مِلْعَقَةُ الْأَرُزِّ؟	أَيْنَ مِلْعَقَةُ الْأَرُزِّ؟	15
Kamu nggak makan?	أَلَا تَأْكُلُ؟	أَلَا تَأْكُلِينَ؟	16
Siapa yang ambil makan?	مَنْ أَخَذَ الطَّعَامَ؟	مَنْ أَخَذَ الطَّعَامَ؟	17
Makannya sudah datang	جَاءَ الطَّعَامُ	جَاءَ الطَّعَامُ	18
Siapa belum makan?	مَنْ لَمْ يَأْكُلْ؟	مَنْ لَمْ تَأْكُلْ؟	19
Makan di mana?	أَيْنَ نَأْكُلُ؟	أَيْنَ نَأْكُلُ؟	20
Tolong ambilkan ikan lele aku	مِنْ فَضْلِكَ خُذْ لِي سَمَكَ السِّلُّورِ	مِنْ فَضْلِكِ خُذِي لِي سَمَكَ السِّلُّورِ	21
Aku mau makan	أُرِيدُ أَنْ آكُلَ	أُرِيدُ أَنْ آكُلَ	22
Siapa yang mau makananku?	مَنْ يُرِيدُ طَعَامِي؟	مَنْ تُرِيدُ طَعَامِي؟	23
Lantainya licin	الْأَرْضُ زَلِقَةٌ	الْأَرْضُ زَلِقَةٌ	24
Ada sambal kah?	هَلْ تُوجَدُ شَطَّةٌ؟	هَلْ تُوجَدُ شَطَّةٌ؟	25
Enak betul	لَذِيذٌ جِدًّا	لَذِيذٌ جِدًّا	26
Makan kok masih hamburan	لِمَاذَا الطَّعَامُ مُتَنَاثِرٌ هَكَذَا؟	لِمَاذَا الطَّعَامُ مُتَنَاثِرٌ هَكَذَا؟	27
Tinggal makan berisik betul	الْأَكْلُ فَقَطْ وَمَعَ ذَلِكَ الضَّجِيجُ كَثِيرٌ	الْأَكْلُ فَقَطْ وَمَعَ ذَلِكَ الضَّجِيجُ كَثِيرٌ	28
Awas kepleset	اِنْتَبِهْ لَا تَنْزَلِقْ	اِنْتَبِهِي لَا تَنْزَلِقِي	29
Bagi yang rata	اِقْسِمْ بِالتَّسَاوِي	اِقْسِمِي بِالتَّسَاوِي	30
Lauknya basi	الْإِدَامُ فَاسِدٌ	الْإِدَامُ فَاسِدٌ	31
